,ageRange,gender,isLGBT+,continent,gmtOffset,education,isStudent,employmentStatus,weeklyConsFreq,sociallyAnxious,consumptionSources,platform,isPayer,prefersSubs,visQuality,storyQuality,characterRelatability,firstFavGenre,secondFavGenre,vTuberSub,consumesHMat,socInc,wantsMoreSeinen
0,1.0,Man,0.0,Australia,11.0,HS,1.0,Unemployed,7.0,0.0,Anime;Manga;Doujinshi,OTHER,1.0,1.0,8.0,6.0,3.0,Comedy/SoL,Rom/Dram,1.0,1.0,Maybe,1.0
1,1.0,Woman,0.0,North America,-5.0,AA/AS,0.0,FullTimer,7.0,0.0,Anime;Manga;Light Novels;Visual Novels,OTHER,1.0,1.0,9.0,8.0,5.0,SciFi/M&M,Action,0.0,0.0,Maybe,1.0
2,0.0,Woman,1.0,North America,-5.0,HSDropout,1.0,Unemployed,6.0,1.0,Anime;Manga,GSS,1.0,1.0,8.0,8.0,7.0,Comedy/SoL,Action,1.0,0.0,Yes,1.0
3,1.0,Man,0.0,Europe,0.0,BA/BS,1.0,Unemployed,4.0,1.0,Anime,AFSS,1.0,0.0,9.0,7.0,9.0,SciFi/M&M,Action,0.0,1.0,Yes,1.0
4,0.0,Man,0.0,North America,-6.0,HSDropout,1.0,Unemployed,4.0,0.0,Anime;Manga;Light Novels,AFSS,1.0,1.0,6.0,7.0,5.0,Comedy/SoL,Fantasy,1.0,0.0,No,1.0
5,3.0,Man,0.0,Europe,1.0,BA/BS,0.0,FullTimer,7.0,1.0,Anime;Manga;Visual Novels,AFSS,1.0,1.0,4.0,8.0,4.0,Rom/Dram,Comedy/SoL,0.0,1.0,No,1.0
6,1.0,Man,0.0,North America,-5.0,BA/BS,0.0,FullTimer,7.0,1.0,Anime;Manga,GSS,0.0,0.0,3.0,10.0,9.0,Psycho,Action,1.0,0.0,Yes,1.0
7,2.0,Man,0.0,Asia,0.0,BA/BS,1.0,FullTimer,3.0,1.0,Anime;Manga;Doujinshi,GSS,0.0,1.0,7.0,9.0,8.0,Comedy/SoL,Psycho,1.0,1.0,Yes,1.0
8,1.0,Man,0.0,North America,-5.0,HS,0.0,Unemployed,7.0,1.0,Anime;Manga;Doujinshi,OTHER,1.0,0.0,8.0,10.0,7.0,Rom/Dram,Psycho,1.0,1.0,No,1.0
9,1.0,Woman,0.0,North America,-5.0,BA/BS,0.0,FullTimer,2.0,1.0,Anime;Manga,GSS,0.0,1.0,9.0,9.0,6.0,SciFi/M&M,Psycho,0.0,0.0,Yes,1.0
10,3.0,Man,0.0,North America,-8.0,MS,1.0,Unemployed,7.0,0.0,Anime,OTHER,0.0,1.0,7.0,8.0,0.0,Comedy/SoL,Psycho,0.0,0.0,Maybe,1.0
