,ageRange,isLGBT+,gmtOffset,isStudent,weeklyConsFreq,sociallyAnxious,isPayer,prefersSubs,visQuality,storyQuality,characterRelatability,vTuberSub,consumesHMat,wantsMoreSeinen,Enby,Man,Woman,locAs,locEu,locNA,locOc,locSA,eduAA/AS,eduBA/BS,eduHS,eduHSDropout,eduMS,eduPhD,eduT/VS,isFullTimer,isPartTimer,isUnemployed,watchesAnime,readsManga,readsDoujins,readsLNs,playsVNs,platformAFSS,platformCOPY,platformGSS,platformN/A,platformOTHER,1favAction,1favComedy/SoL,1favFantasy,1favRom/Dram,1favSciFi/M&M,1favSupernatural,1favPsycho,2favAction,2favComedy/SoL,2favFantasy,2favRom/Dram,2favSciFi/M&M,2favSupernatural,2favPsycho,overHMaybe,overHNo,overHYes,socIncMaybe,socIncNo,socIncYes
0,1.0,0.0,11.0,1.0,7.0,0.0,1.0,1.0,8.0,6.0,3.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1,1.0,0.0,-5.0,0.0,7.0,0.0,1.0,1.0,9.0,8.0,5.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2,0.0,1.0,-5.0,1.0,6.0,1.0,1.0,1.0,8.0,8.0,7.0,1.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,9.0,7.0,9.0,0.0,1.0,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
4,0.0,0.0,-6.0,1.0,4.0,0.0,1.0,1.0,6.0,7.0,5.0,1.0,0.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
5,3.0,0.0,1.0,0.0,7.0,1.0,1.0,1.0,4.0,8.0,4.0,0.0,1.0,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
6,1.0,0.0,-5.0,0.0,7.0,1.0,0.0,0.0,3.0,10.0,9.0,1.0,0.0,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
7,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,7.0,9.0,8.0,1.0,1.0,1.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
8,1.0,0.0,-5.0,0.0,7.0,1.0,1.0,0.0,8.0,10.0,7.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
9,1.0,0.0,-5.0,0.0,2.0,1.0,0.0,1.0,9.0,9.0,6.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
