How old are you?,Which of the following best describes your gender identity?,Do you consider yourself a member of the LGBT+ community?,On what continent do you reside?,"Using only its 3- to 4-letter abbreviation, what timezone are you in?",What is your highest level of education?,"Are you currently pursuing an education, either part- or full-time?",Which of the following best describes your current employment status?,"In an average week, on how many days do you watch anime, read manga, doujin or light novels, or play visual novels?",Have you ever suffered from social anxiety?,Which of the following do you consume? Check all that apply. ,How do you typically access anime?,"Have you ever held a paid subscription to an anime-focused streaming service such as VRV, Crunchyroll, or Funimation?","When you watch anime, do you prefer subs or dubs?","When choosing an anime, manga, LN, or VN, how important do you weigh visual qualities such as style, character design, and backgrounds?","When choosing an anime, manga, or LN, how important do you weigh storytelling qualities such as dialogue, character development, and conflict?","When choosing an anime, manga, or LN, how important do you weigh character relatability?",What genre do you most enjoy the most?,What genre do you most enjoy second-most?,Have you ever considered subscribing to a VTuber?,"Have you ever watched/read an anime, manga, doujin, LN, or VN, and felt the characters or story were cheapened through over-sexualization?","In the last month, have you consumed an H [adult] anime, manga, doujin, light, or a visual novel?","Do you think anime, manga, or the like could benefit from the better representation of certain social groups?","Were there more stories available for older, more mature audiences, would you consider reading or watching them?"
18 - 25,Man,No,Australia,AEDT,High School Diploma / GED,Yes,Unemployed,7,No,Anime;Manga;Doujinshi,Other sources,Yes,Subs,8,6,3,"Comedy, including Slice-of-Life",Romance / Drama,Yes,Yes,Yes,Maybe,Yes
18 - 25,Woman,No,North America,EST,Associate's,No,Full-time,7,No,Anime;Manga;Light Novels;Visual Novels,Other sources,Yes,Subs,9,8,5,"Sci-Fi, including Military and Mecha",Action,No,Maybe,No,Maybe,Yes
17 or under,Woman,Yes,North America,Est,Some high school,Yes,Unemployed,6,Yes,Anime;Manga,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",Yes,Subs,8,8,7,"Comedy, including Slice-of-Life",Action,Yes,Maybe,No,Yes,Yes
18 - 25,Man,No,Europe,GMT,Bachelor's,Yes,Unemployed,4,Yes,Anime,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,9,7,9,"Sci-Fi, including Military and Mecha",Action,No,Maybe,Yes,Yes,Yes
17 or under,Man,No,North America,Cst,Some high school,Yes,Unemployed,4,No,Anime;Manga;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,6,7,5,"Comedy, including Slice-of-Life",Fantasy / Issekai,Yes,No,No,No,Yes
34 - 41,Man,No,Europe,CET,Bachelor's,No,Full-time,7,Yes,Anime;Manga;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,4,8,4,Romance / Drama,"Comedy, including Slice-of-Life",No,No,Yes,No,Yes
18 - 25,Man,No,North America,EST,Bachelor's,No,Full-time,7,Yes,Anime;Manga,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Dubs,3,10,9,Tragedy / Psychological,Action,Yes,Yes,No,Yes,Yes
26 - 33,Man,No,Asia,gmt,Bachelor's,Yes,Full-time,3,Yes,Anime;Manga;Doujinshi,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,7,9,8,"Comedy, including Slice-of-Life",Tragedy / Psychological,Yes,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,EST,High School Diploma / GED,No,Unemployed,7,Yes,Anime;Manga;Doujinshi,Other sources,Yes,Dubs,8,10,7,Romance / Drama,Tragedy / Psychological,Yes,No,Yes,No,Yes
18 - 25,Woman,No,North America,EST,Bachelor's,No,Full-time,2,Yes,Anime;Manga,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,9,9,6,"Sci-Fi, including Military and Mecha",Tragedy / Psychological,No,Yes,No,Yes,Yes
